x,y
62.6756606794451,517.097007195745
166.254105866652,1071.82237093542
122.397253569732,501.610387259256
38.9977673260248,159.227304934524
48.466505583313,159.289700665744
75.7265035457197,167.745254697511
115.779915100107,603.760398654966
48.3594123359344,151.642354462482
220.862737323162,727.02188270865
27.6180493568194,89.7041892451234
165.343096011131,959.315388825815
75.8353452841871,199.148681869265
71.4455882272474,337.008388862014
63.4615755528326,588.037462203298
243.544835342586,1265.82284173165
227.088481024703,1568.99290731978
36.7309373427047,191.21280722525
20.0430650521198,190.146827352047
11.7617941144761,174.400761089847
110.396994471117,794.501584127545
77.8089988917289,1833.7822827077
83.3935437818942,940.523719708063
13.5256746567937,238.309948006645
48.6081056406887,398.770704399794
137.516259491006,788.685511063598
141.490574141473,812.23320705723
31.6058544136769,233.552620504424
53.7334189781007,110.033180729114
48.8308753640416,188.588533910364
66.8004245527709,401.340458842926
87.5527796016165,887.265468587354
82.3499133530021,143.480803997163
35.0066323542322,250.206862181658
79.2675781952196,149.481333237328
